역,순위,식당명,카테고리,대표메뉴(추정),음식프로필,추천_위스키종류,대안_위스키종류,예시보틀(후속),예시보틀_가격,서빙,페어링근거,위스키신호,네이버지도,대표사진,confidence
강남역,11,김인복의 광평 강남직영점,"평양냉면, 한우",한우·숙성 소고기구이 (마블링·마이야르),숙성 한우·소고기구이,셰리,버번,글렌드로낙 12년,"79,800원~82,800원",니트,"숙성 한우의 진한 감칠맛과 마이야르(불맛)에는 셰리캐스크의 건과일·견과 단맛이 풍미의 층을 더하고, 대안 버번의 높은 도수가 마블링 기름을 정리한다(감칠맛 보완·지방절단).",,https://map.naver.com/p/search/%EA%B9%80%EC%9D%B8%EB%B3%B5%EC%9D%98%20%EA%B4%91%ED%8F%89%20%EA%B0%95%EB%82%A8%EC%A7%81%EC%98%81%EC%A0%90,https://d12zq4w4guyljn.cloudfront.net/300_300_20260406123820_photo1_06d69fb0c864.webp,메뉴=카테고리 추정·페어링=원리기반(매장 위스키정책 전화확인 권장)
강남역,12,녘,"퓨전, 뉴욕스타일레스토랑",파스타·피자·리조또 (양식),양식·파스타·피자,스페이사이드(과일몰트),재패니즈(하이볼),글렌피딕 12년,"59,000원~84,800원",니트 또는 하이볼,"토마토·치즈·크림의 산미와 감칠맛에는 글렌피딕의 가벼운 배·사과향이 식사주로 무난하고, 하이볼로 내면 가벼운 식전·식중주가 된다(과일향 매칭).",,https://map.naver.com/p/search/%EB%85%98,https://d12zq4w4guyljn.cloudfront.net/300_300_20260519035934766_photo_e4a74423f140.webp,메뉴=카테고리 추정·페어링=원리기반(매장 위스키정책 전화확인 권장)
강남역,13,유니네 고깃간 강남역점,"목살, 삼겹살",삼겹살·목살·돼지구이 (기름진 구이),삼겹살·돼지구이,재패니즈(하이볼),피트(스모키),산토리 가쿠빈,"32,980원~39,800원",하이볼,기름진 삼겹·목살에는 하이볼의 탄산이 느끼함을 끊어주는 클래식 조합(가쿠빈 하이볼). 대안 탈리스커는 숯불 불향과 훈연으로 동조한다(지방절단·훈연 동조).,,https://map.naver.com/p/search/%EC%9C%A0%EB%8B%88%EB%84%A4%20%EA%B3%A0%EA%B9%83%EA%B0%84%20%EA%B0%95%EB%82%A8%EC%97%AD%EC%A0%90,https://d12zq4w4guyljn.cloudfront.net/300_300_20250830012623_photo1_0d3f89ef523b.webp,메뉴=카테고리 추정·페어링=원리기반(매장 위스키정책 전화확인 권장)
강남역,14,교대이층집 강남역점,"삼겹살, 꽃삼겹",삼겹살·목살·돼지구이 (기름진 구이),삼겹살·돼지구이,재패니즈(하이볼),피트(스모키),산토리 가쿠빈,"32,980원~39,800원",하이볼,기름진 삼겹·목살에는 하이볼의 탄산이 느끼함을 끊어주는 클래식 조합(가쿠빈 하이볼). 대안 탈리스커는 숯불 불향과 훈연으로 동조한다(지방절단·훈연 동조).,,https://map.naver.com/p/search/%EA%B5%90%EB%8C%80%EC%9D%B4%EC%B8%B5%EC%A7%91%20%EA%B0%95%EB%82%A8%EC%97%AD%EC%A0%90,https://d12zq4w4guyljn.cloudfront.net/300_300_20251220080534379_photo_nHsPdBtUHr4V.webp,메뉴=카테고리 추정·페어링=원리기반(매장 위스키정책 전화확인 권장)
강남역,15,마노 디 셰프 강남역점,"파스타, 피자",파스타·피자·리조또 (양식),양식·파스타·피자,스페이사이드(과일몰트),재패니즈(하이볼),글렌피딕 12년,"59,000원~84,800원",니트 또는 하이볼,"토마토·치즈·크림의 산미와 감칠맛에는 글렌피딕의 가벼운 배·사과향이 식사주로 무난하고, 하이볼로 내면 가벼운 식전·식중주가 된다(과일향 매칭).",,https://map.naver.com/p/search/%EB%A7%88%EB%85%B8%20%EB%94%94%20%EC%85%B0%ED%94%84%20%EA%B0%95%EB%82%A8%EC%97%AD%EC%A0%90,https://d12zq4w4guyljn.cloudfront.net/300_300_20250803120951_photo1_249bf04e1ef3.webp,메뉴=카테고리 추정·페어링=원리기반(매장 위스키정책 전화확인 권장)
강남역,16,흑우정 강남본점,"한우, 흑우",한우·숙성 소고기구이 (마블링·마이야르),숙성 한우·소고기구이,셰리,버번,글렌드로낙 12년,"79,800원~82,800원",니트,"숙성 한우의 진한 감칠맛과 마이야르(불맛)에는 셰리캐스크의 건과일·견과 단맛이 풍미의 층을 더하고, 대안 버번의 높은 도수가 마블링 기름을 정리한다(감칠맛 보완·지방절단).",,https://map.naver.com/p/search/%ED%9D%91%EC%9A%B0%EC%A0%95%20%EA%B0%95%EB%82%A8%EB%B3%B8%EC%A0%90,https://d12zq4w4guyljn.cloudfront.net/300_300_20251111094213_photo1_ikgUtYOtVden.webp,메뉴=카테고리 추정·페어링=원리기반(매장 위스키정책 전화확인 권장)
강남역,17,호보식당,"고깃집, 마늘갈비",한우·숙성 소고기구이 (마블링·마이야르),숙성 한우·소고기구이,셰리,버번,글렌드로낙 12년,"79,800원~82,800원",니트,"숙성 한우의 진한 감칠맛과 마이야르(불맛)에는 셰리캐스크의 건과일·견과 단맛이 풍미의 층을 더하고, 대안 버번의 높은 도수가 마블링 기름을 정리한다(감칠맛 보완·지방절단).",,https://map.naver.com/p/search/%ED%98%B8%EB%B3%B4%EC%8B%9D%EB%8B%B9,https://d12zq4w4guyljn.cloudfront.net/300_300_20260301070438450_photo_3ef6b7700861.webp,메뉴=카테고리 추정·페어링=원리기반(매장 위스키정책 전화확인 권장)
강남역,18,빌즈 강남,"브런치, 호주",파스타·피자·리조또 (양식),양식·파스타·피자,스페이사이드(과일몰트),재패니즈(하이볼),글렌피딕 12년,"59,000원~84,800원",니트 또는 하이볼,"토마토·치즈·크림의 산미와 감칠맛에는 글렌피딕의 가벼운 배·사과향이 식사주로 무난하고, 하이볼로 내면 가벼운 식전·식중주가 된다(과일향 매칭).",,https://map.naver.com/p/search/%EB%B9%8C%EC%A6%88%20%EA%B0%95%EB%82%A8,https://d12zq4w4guyljn.cloudfront.net/300_300_20260420032453_photo1_4c71947e039b.webp,메뉴=카테고리 추정·페어링=원리기반(매장 위스키정책 전화확인 권장)
강남역,19,자매수산,"횟집, 방어",모듬회·사시미·스시 (담백한 생선),회·사시미·스시(담백),코스탈(해안 몰트),스페이사이드(과일몰트),클라이넬리시 14년,"79,400원~84,800원",하이볼 또는 니트(소량),"섬세한 흰살·붉은살 생선의 감칠맛을 덮지 않도록 피트 없는 경량 몰트가 정답. 클라이넬리시의 해풍·왁시한 질감이 회의 바다향과 동조하고, 대안 글렌리벳은 사과·꽃향으로 입을 가볍게 정리한다(담백함 보존).",,https://map.naver.com/p/search/%EC%9E%90%EB%A7%A4%EC%88%98%EC%82%B0,https://d12zq4w4guyljn.cloudfront.net/300_300_20260501121406_photo1_2a11d30f4cc3.webp,메뉴=카테고리 추정·페어링=원리기반(매장 위스키정책 전화확인 권장)
강남역,20,영통백합 칼국수 강남점,백합샤브샤브,모듬회·사시미·스시 (담백한 생선),회·사시미·스시(담백),코스탈(해안 몰트),스페이사이드(과일몰트),클라이넬리시 14년,"79,400원~84,800원",하이볼 또는 니트(소량),"섬세한 흰살·붉은살 생선의 감칠맛을 덮지 않도록 피트 없는 경량 몰트가 정답. 클라이넬리시의 해풍·왁시한 질감이 회의 바다향과 동조하고, 대안 글렌리벳은 사과·꽃향으로 입을 가볍게 정리한다(담백함 보존).",,https://map.naver.com/p/search/%EC%98%81%ED%86%B5%EB%B0%B1%ED%95%A9%20%EC%B9%BC%EA%B5%AD%EC%88%98%20%EA%B0%95%EB%82%A8%EC%A0%90,https://d12zq4w4guyljn.cloudfront.net/300_300_20260422100011_photo1_fc109594a656.webp,메뉴=카테고리 추정·페어링=원리기반(매장 위스키정책 전화확인 권장)
강남역,21,고깃집열,"삼겹살, 돼지고기",삼겹살·목살·돼지구이 (기름진 구이),삼겹살·돼지구이,재패니즈(하이볼),피트(스모키),산토리 가쿠빈,"32,980원~39,800원",하이볼,기름진 삼겹·목살에는 하이볼의 탄산이 느끼함을 끊어주는 클래식 조합(가쿠빈 하이볼). 대안 탈리스커는 숯불 불향과 훈연으로 동조한다(지방절단·훈연 동조).,,https://map.naver.com/p/search/%EA%B3%A0%EA%B9%83%EC%A7%91%EC%97%B4,https://d12zq4w4guyljn.cloudfront.net/300_300_20260414083419_photo1_72e4c30160ee.webp,메뉴=카테고리 추정·페어링=원리기반(매장 위스키정책 전화확인 권장)
강남역,22,반갑다하대포,"고깃집, 특수부위",한우·숙성 소고기구이 (마블링·마이야르),숙성 한우·소고기구이,셰리,버번,글렌드로낙 12년,"79,800원~82,800원",니트,"숙성 한우의 진한 감칠맛과 마이야르(불맛)에는 셰리캐스크의 건과일·견과 단맛이 풍미의 층을 더하고, 대안 버번의 높은 도수가 마블링 기름을 정리한다(감칠맛 보완·지방절단).",,https://map.naver.com/p/search/%EB%B0%98%EA%B0%91%EB%8B%A4%ED%95%98%EB%8C%80%ED%8F%AC,https://d12zq4w4guyljn.cloudfront.net/300_300_20260423081707_photo1_015b99dfc825.webp,메뉴=카테고리 추정·페어링=원리기반(매장 위스키정책 전화확인 권장)
강남역,23,양미당 강남본점,"양갈비, 양고기",양갈비·양꼬치 (구운 양고기),양고기·향신료,피트(스모키),셰리,라프로익 10년,"69,800원~79,800원",니트 또는 물 몇 방울,양고기 특유의 진한 누린향·쯔란(커민) 향신료에는 아일라 피트의 훈연·요오드가 '훈제 양고기'처럼 동조하며 기름기를 깔끔히 정리한다(훈연 동조).,,https://map.naver.com/p/search/%EC%96%91%EB%AF%B8%EB%8B%B9%20%EA%B0%95%EB%82%A8%EB%B3%B8%EC%A0%90,https://d12zq4w4guyljn.cloudfront.net/300_300_20260216045725_photo1_0d3f89ef523b.webp,메뉴=카테고리 추정·페어링=원리기반(매장 위스키정책 전화확인 권장)
강남역,24,찬란한아구 강남본점,"아구찜, 지리탕",아구찜·매운탕 (칼칼한 해물찜),아구찜·매운 해물찜,하이랜드(균형/시트러스),블렌디드(하이볼),글렌모렌지 12년,"69,800원",하이볼,고춧가루·콩나물의 칼칼한 매운맛에는 글렌모렌지의 부드러운 과일·바닐라 향과 하이볼의 희석이 자극을 진정시킨다(매운맛 완화).,,https://map.naver.com/p/search/%EC%B0%AC%EB%9E%80%ED%95%9C%EC%95%84%EA%B5%AC%20%EA%B0%95%EB%82%A8%EB%B3%B8%EC%A0%90,https://d12zq4w4guyljn.cloudfront.net/300_300_20250601100122_photo1_3dc58a5d0483.webp,메뉴=카테고리 추정·페어링=원리기반(매장 위스키정책 전화확인 권장)
강남역,25,모범갈빗살 강남역본점,"한우, 소고기",한우·숙성 소고기구이 (마블링·마이야르),숙성 한우·소고기구이,셰리,버번,글렌드로낙 12년,"79,800원~82,800원",니트,"숙성 한우의 진한 감칠맛과 마이야르(불맛)에는 셰리캐스크의 건과일·견과 단맛이 풍미의 층을 더하고, 대안 버번의 높은 도수가 마블링 기름을 정리한다(감칠맛 보완·지방절단).",,https://map.naver.com/p/search/%EB%AA%A8%EB%B2%94%EA%B0%88%EB%B9%97%EC%82%B4%20%EA%B0%95%EB%82%A8%EC%97%AD%EB%B3%B8%EC%A0%90,https://d12zq4w4guyljn.cloudfront.net/300_300_20260204095412_photo1_9773ba5d6efe.webp,메뉴=카테고리 추정·페어링=원리기반(매장 위스키정책 전화확인 권장)
강남역,26,라그릴리아 SPC스퀘어점,"파스타, 스테이크",스테이크 (드라이에이징·양식 육요리),스테이크·양식 고기,셰리,버번,글렌드로낙 12년,"79,800원~82,800원",니트,"육즙 가득한 스테이크에는 셰리캐스크 몰트의 건과일·견과가 마이야르 풍미와 층을 이루고, 대안 우드포드 버번의 단맛·바닐라가 시즈닝과 어울린다(감칠맛 보완).",,https://map.naver.com/p/search/%EB%9D%BC%EA%B7%B8%EB%A6%B4%EB%A6%AC%EC%95%84%20SPC%EC%8A%A4%ED%80%98%EC%96%B4%EC%A0%90,https://d12zq4w4guyljn.cloudfront.net/300_300_20251117070141_photo1_21dfcde4afc6.webp,메뉴=카테고리 추정·페어링=원리기반(매장 위스키정책 전화확인 권장)
강남역,27,장서는날,"한식, 항정",삼겹살·목살·돼지구이 (기름진 구이),삼겹살·돼지구이,재패니즈(하이볼),피트(스모키),산토리 가쿠빈,"32,980원~39,800원",하이볼,기름진 삼겹·목살에는 하이볼의 탄산이 느끼함을 끊어주는 클래식 조합(가쿠빈 하이볼). 대안 탈리스커는 숯불 불향과 훈연으로 동조한다(지방절단·훈연 동조).,,https://map.naver.com/p/search/%EC%9E%A5%EC%84%9C%EB%8A%94%EB%82%A0,https://d12zq4w4guyljn.cloudfront.net/300_300_20251215091245_photo1_6f70d4a8a958.webp,메뉴=카테고리 추정·페어링=원리기반(매장 위스키정책 전화확인 권장)
강남역,28,세광양대창 강남점,"대창, 양대창",곱창·막창·대창 (불향 내장구이),곱창·막창(소내장),버번,피트(스모키),버팔로 트레이스,"49,800원~49,980원",니트 또는 하이볼,"기름지고 풍미가 강한 내장구이에는 버번의 옥수수 단맛+높은 도수가 기름·잡내를 정리하고, 대안 아일라 피트는 숯불 불향과 훈연으로 동조한다(지방절단·훈연 동조).",,https://map.naver.com/p/search/%EC%84%B8%EA%B4%91%EC%96%91%EB%8C%80%EC%B0%BD%20%EA%B0%95%EB%82%A8%EC%A0%90,https://d12zq4w4guyljn.cloudfront.net/300_300_20260102125922_photo1_21812fcb96e3.webp,메뉴=카테고리 추정·페어링=원리기반(매장 위스키정책 전화확인 권장)
강남역,29,다미곱창 강남본점,곱창,곱창·막창·대창 (불향 내장구이),곱창·막창(소내장),버번,피트(스모키),버팔로 트레이스,"49,800원~49,980원",니트 또는 하이볼,"기름지고 풍미가 강한 내장구이에는 버번의 옥수수 단맛+높은 도수가 기름·잡내를 정리하고, 대안 아일라 피트는 숯불 불향과 훈연으로 동조한다(지방절단·훈연 동조).",,https://map.naver.com/p/search/%EB%8B%A4%EB%AF%B8%EA%B3%B1%EC%B0%BD%20%EA%B0%95%EB%82%A8%EB%B3%B8%EC%A0%90,https://d12zq4w4guyljn.cloudfront.net/300_300_20260118104543_photo1_0d3f89ef523b.webp,메뉴=카테고리 추정·페어링=원리기반(매장 위스키정책 전화확인 권장)
강남역,30,한판도,"삼겹살, 목살",삼겹살·목살·돼지구이 (기름진 구이),삼겹살·돼지구이,재패니즈(하이볼),피트(스모키),산토리 가쿠빈,"32,980원~39,800원",하이볼,기름진 삼겹·목살에는 하이볼의 탄산이 느끼함을 끊어주는 클래식 조합(가쿠빈 하이볼). 대안 탈리스커는 숯불 불향과 훈연으로 동조한다(지방절단·훈연 동조).,,https://map.naver.com/p/search/%ED%95%9C%ED%8C%90%EB%8F%84,https://d12zq4w4guyljn.cloudfront.net/300_300_20260111013446_photo1_21dfcde4afc6.webp,메뉴=카테고리 추정·페어링=원리기반(매장 위스키정책 전화확인 권장)
강남역,31,두껍삼,"삼겹살, 고기집",삼겹살·목살·돼지구이 (기름진 구이),삼겹살·돼지구이,재패니즈(하이볼),피트(스모키),산토리 가쿠빈,"32,980원~39,800원",하이볼,기름진 삼겹·목살에는 하이볼의 탄산이 느끼함을 끊어주는 클래식 조합(가쿠빈 하이볼). 대안 탈리스커는 숯불 불향과 훈연으로 동조한다(지방절단·훈연 동조).,,https://map.naver.com/p/search/%EB%91%90%EA%BB%8D%EC%82%BC,https://d12zq4w4guyljn.cloudfront.net/300_300_20260416051035_photo1_06912bd4c406.webp,메뉴=카테고리 추정·페어링=원리기반(매장 위스키정책 전화확인 권장)
강남역,32,스시도온,스시오마카세,모듬회·사시미·스시 (담백한 생선),회·사시미·스시(담백),코스탈(해안 몰트),스페이사이드(과일몰트),클라이넬리시 14년,"79,400원~84,800원",하이볼 또는 니트(소량),"섬세한 흰살·붉은살 생선의 감칠맛을 덮지 않도록 피트 없는 경량 몰트가 정답. 클라이넬리시의 해풍·왁시한 질감이 회의 바다향과 동조하고, 대안 글렌리벳은 사과·꽃향으로 입을 가볍게 정리한다(담백함 보존).",,https://map.naver.com/p/search/%EC%8A%A4%EC%8B%9C%EB%8F%84%EC%98%A8,https://d12zq4w4guyljn.cloudfront.net/300_300_20251024021541_photo1_d9c6aa6a8eb4.webp,메뉴=카테고리 추정·페어링=원리기반(매장 위스키정책 전화확인 권장)
강남역,33,압구정수산시장 강남역점,"이자카야, 술집",이자카야·사케·라멘 (일식 주점),이자카야·사케·라멘(일식주점),재패니즈(하이볼),스페이사이드(과일몰트),산토리 가쿠빈,"32,980원~39,800원",하이볼,야키토리·꼬치·라멘 등 기름지고 짭짤한 일식 주점 안주에는 일본식 하이볼(가쿠빈)이 정석이다. 탄산이 기름을 끊고 가볍게 이어 마실 수 있다(지방절단·문화적 정합).,,https://map.naver.com/p/search/%EC%95%95%EA%B5%AC%EC%A0%95%EC%88%98%EC%82%B0%EC%8B%9C%EC%9E%A5%20%EA%B0%95%EB%82%A8%EC%97%AD%EC%A0%90,https://d12zq4w4guyljn.cloudfront.net/300_300_20251219060353_photo1_21dfcde4afc6.webp,메뉴=카테고리 추정·페어링=원리기반(매장 위스키정책 전화확인 권장)
강남역,34,두껍삼 역삼직영점,"삼겹살, 숙성삼겹살",삼겹살·목살·돼지구이 (기름진 구이),삼겹살·돼지구이,재패니즈(하이볼),피트(스모키),산토리 가쿠빈,"32,980원~39,800원",하이볼,기름진 삼겹·목살에는 하이볼의 탄산이 느끼함을 끊어주는 클래식 조합(가쿠빈 하이볼). 대안 탈리스커는 숯불 불향과 훈연으로 동조한다(지방절단·훈연 동조).,,https://map.naver.com/p/search/%EB%91%90%EA%BB%8D%EC%82%BC%20%EC%97%AD%EC%82%BC%EC%A7%81%EC%98%81%EC%A0%90,https://d12zq4w4guyljn.cloudfront.net/300_300_20260420094111_photo1_86c550d72c91.webp,메뉴=카테고리 추정·페어링=원리기반(매장 위스키정책 전화확인 권장)
강남역,35,이자카야 열,"이자카야, 사시미",모듬회·사시미·스시 (담백한 생선),회·사시미·스시(담백),코스탈(해안 몰트),스페이사이드(과일몰트),클라이넬리시 14년,"79,400원~84,800원",하이볼 또는 니트(소량),"섬세한 흰살·붉은살 생선의 감칠맛을 덮지 않도록 피트 없는 경량 몰트가 정답. 클라이넬리시의 해풍·왁시한 질감이 회의 바다향과 동조하고, 대안 글렌리벳은 사과·꽃향으로 입을 가볍게 정리한다(담백함 보존).",있음,https://map.naver.com/p/search/%EC%9D%B4%EC%9E%90%EC%B9%B4%EC%95%BC%20%EC%97%B4,https://d12zq4w4guyljn.cloudfront.net/300_300_20251119042456306_photo_5e369954cf58.webp,메뉴=카테고리 추정·페어링=원리기반(매장 위스키정책 전화확인 권장)
강남역,36,차이룸 강남점,중식당,짜장·동파육·어향 (기름진 중식),중식(기름진 볶음),블렌디드(하이볼),버번,발렌타인 파이니스트,"25,000원~30,000원",하이볼,기름진 볶음·소스 중식에는 하이볼 탄산이 느끼함을 정리한다. 가벼운 블렌디드(발렌타인) 베이스가 음식의 풍미를 누르지 않는다(지방절단).,,https://map.naver.com/p/search/%EC%B0%A8%EC%9D%B4%EB%A3%B8%20%EA%B0%95%EB%82%A8%EC%A0%90,https://d12zq4w4guyljn.cloudfront.net/300_300_20260407083843_photo1_0b2ea42c4f94.webp,메뉴=카테고리 추정·페어링=원리기반(매장 위스키정책 전화확인 권장)
강남역,37,목향 강남역점,"양꼬치, 양갈비",양갈비·양꼬치 (구운 양고기),양고기·향신료,피트(스모키),셰리,라프로익 10년,"69,800원~79,800원",니트 또는 물 몇 방울,양고기 특유의 진한 누린향·쯔란(커민) 향신료에는 아일라 피트의 훈연·요오드가 '훈제 양고기'처럼 동조하며 기름기를 깔끔히 정리한다(훈연 동조).,,https://map.naver.com/p/search/%EB%AA%A9%ED%96%A5%20%EA%B0%95%EB%82%A8%EC%97%AD%EC%A0%90,https://d12zq4w4guyljn.cloudfront.net/300_300_20250930115128_photo1_c1ed86d1324a.webp,메뉴=카테고리 추정·페어링=원리기반(매장 위스키정책 전화확인 권장)
