역,순위,식당명,카테고리,대표메뉴(추정),음식프로필,추천_위스키종류,대안_위스키종류,예시보틀(후속),예시보틀_가격,서빙,페어링근거,위스키신호,네이버지도,대표사진,confidence
합정역,11,MUU한우다이닝 합정,한우오마카세,한우·숙성 소고기구이 (마블링·마이야르),숙성 한우·소고기구이,셰리,버번,글렌드로낙 12년,"79,800원~82,800원",니트,"숙성 한우의 진한 감칠맛과 마이야르(불맛)에는 셰리캐스크의 건과일·견과 단맛이 풍미의 층을 더하고, 대안 버번의 높은 도수가 마블링 기름을 정리한다(감칠맛 보완·지방절단).",,https://map.naver.com/p/search/MUU%ED%95%9C%EC%9A%B0%EB%8B%A4%EC%9D%B4%EB%8B%9D%20%ED%95%A9%EC%A0%95,https://d12zq4w4guyljn.cloudfront.net/300_300_20260405111939_menu1_0a1b0aca918b.webp,메뉴=카테고리 추정·페어링=원리기반(매장 위스키정책 전화확인 권장)
합정역,12,자자,중식당,짜장·동파육·어향 (기름진 중식),중식(기름진 볶음),블렌디드(하이볼),버번,발렌타인 파이니스트,"25,000원~30,000원",하이볼,기름진 볶음·소스 중식에는 하이볼 탄산이 느끼함을 정리한다. 가벼운 블렌디드(발렌타인) 베이스가 음식의 풍미를 누르지 않는다(지방절단).,,https://map.naver.com/p/search/%EC%9E%90%EC%9E%90,https://d12zq4w4guyljn.cloudfront.net/300_300_20250602020347_photo1_46eadfc7e895.webp,메뉴=카테고리 추정·페어링=원리기반(매장 위스키정책 전화확인 권장)
합정역,13,이치류 홍대본점,"양갈비, 양고기",양갈비·양꼬치 (구운 양고기),양고기·향신료,피트(스모키),셰리,라프로익 10년,"69,800원~79,800원",니트 또는 물 몇 방울,양고기 특유의 진한 누린향·쯔란(커민) 향신료에는 아일라 피트의 훈연·요오드가 '훈제 양고기'처럼 동조하며 기름기를 깔끔히 정리한다(훈연 동조).,,https://map.naver.com/p/search/%EC%9D%B4%EC%B9%98%EB%A5%98%20%ED%99%8D%EB%8C%80%EB%B3%B8%EC%A0%90,https://d12zq4w4guyljn.cloudfront.net/300_300_20250502054221584_photo_ce344b9bad12.webp,메뉴=카테고리 추정·페어링=원리기반(매장 위스키정책 전화확인 권장)
합정역,14,돼지전 합정점,"삼겹살, 고기집",삼겹살·목살·돼지구이 (기름진 구이),삼겹살·돼지구이,재패니즈(하이볼),피트(스모키),산토리 가쿠빈,"32,980원~39,800원",하이볼,기름진 삼겹·목살에는 하이볼의 탄산이 느끼함을 끊어주는 클래식 조합(가쿠빈 하이볼). 대안 탈리스커는 숯불 불향과 훈연으로 동조한다(지방절단·훈연 동조).,,https://map.naver.com/p/search/%EB%8F%BC%EC%A7%80%EC%A0%84%20%ED%95%A9%EC%A0%95%EC%A0%90,https://d12zq4w4guyljn.cloudfront.net/300_300_20251102014059431_photo_2d066cb6f712.webp,메뉴=카테고리 추정·페어링=원리기반(매장 위스키정책 전화확인 권장)
합정역,15,새벽숯불가든,"삼겹살, 흑돼지",삼겹살·목살·돼지구이 (기름진 구이),삼겹살·돼지구이,재패니즈(하이볼),피트(스모키),산토리 가쿠빈,"32,980원~39,800원",하이볼,기름진 삼겹·목살에는 하이볼의 탄산이 느끼함을 끊어주는 클래식 조합(가쿠빈 하이볼). 대안 탈리스커는 숯불 불향과 훈연으로 동조한다(지방절단·훈연 동조).,,https://map.naver.com/p/search/%EC%83%88%EB%B2%BD%EC%88%AF%EB%B6%88%EA%B0%80%EB%93%A0,https://d12zq4w4guyljn.cloudfront.net/300_300_20251117105906742_photo_b8ac6b5170d7.webp,메뉴=카테고리 추정·페어링=원리기반(매장 위스키정책 전화확인 권장)
합정역,16,소월옥,"라멘, 온면",이자카야·사케·라멘 (일식 주점),이자카야·사케·라멘(일식주점),재패니즈(하이볼),스페이사이드(과일몰트),산토리 가쿠빈,"32,980원~39,800원",하이볼,야키토리·꼬치·라멘 등 기름지고 짭짤한 일식 주점 안주에는 일본식 하이볼(가쿠빈)이 정석이다. 탄산이 기름을 끊고 가볍게 이어 마실 수 있다(지방절단·문화적 정합).,,https://map.naver.com/p/search/%EC%86%8C%EC%9B%94%EC%98%A5,https://d12zq4w4guyljn.cloudfront.net/300_300_20250910095359429_photo_16ac5c698b06.webp,메뉴=카테고리 추정·페어링=원리기반(매장 위스키정책 전화확인 권장)
합정역,17,염돈,"삼겹살, 고기집",삼겹살·목살·돼지구이 (기름진 구이),삼겹살·돼지구이,재패니즈(하이볼),피트(스모키),산토리 가쿠빈,"32,980원~39,800원",하이볼,기름진 삼겹·목살에는 하이볼의 탄산이 느끼함을 끊어주는 클래식 조합(가쿠빈 하이볼). 대안 탈리스커는 숯불 불향과 훈연으로 동조한다(지방절단·훈연 동조).,,https://map.naver.com/p/search/%EC%97%BC%EB%8F%88,https://d12zq4w4guyljn.cloudfront.net/300_300_20260423092433_photo1_205fae5ae727.webp,메뉴=카테고리 추정·페어링=원리기반(매장 위스키정책 전화확인 권장)
합정역,18,김숙성 합정점,"고깃집, 한돈",삼겹살·목살·돼지구이 (기름진 구이),삼겹살·돼지구이,재패니즈(하이볼),피트(스모키),산토리 가쿠빈,"32,980원~39,800원",하이볼,기름진 삼겹·목살에는 하이볼의 탄산이 느끼함을 끊어주는 클래식 조합(가쿠빈 하이볼). 대안 탈리스커는 숯불 불향과 훈연으로 동조한다(지방절단·훈연 동조).,,https://map.naver.com/p/search/%EA%B9%80%EC%88%99%EC%84%B1%20%ED%95%A9%EC%A0%95%EC%A0%90,https://d12zq4w4guyljn.cloudfront.net/300_300_20250930003151_photo1_c9160102d488.webp,메뉴=카테고리 추정·페어링=원리기반(매장 위스키정책 전화확인 권장)
합정역,19,Fringe group seoul,"칵테일, 칵테일바",칵테일바 (믹솔로지),칵테일바,버번,라이,1792 스몰배치,"39,980원~44,980원",온더락 또는 칵테일 베이스,칵테일바에서는 1792·짐빔 같은 버번이 올드패션드/위스키사워 등 클래식 칵테일 베이스로 가성비 좋게 어울린다(베이스 정합).,,https://map.naver.com/p/search/Fringe%20group%20seoul,https://d12zq4w4guyljn.cloudfront.net/300_300_20250408045331_photo1_64ad5325097d.webp,메뉴=카테고리 추정·페어링=원리기반(매장 위스키정책 전화확인 권장)
합정역,20,오마주,"술집, 오돌갈비",삼겹살·목살·돼지구이 (기름진 구이),삼겹살·돼지구이,재패니즈(하이볼),피트(스모키),산토리 가쿠빈,"32,980원~39,800원",하이볼,기름진 삼겹·목살에는 하이볼의 탄산이 느끼함을 끊어주는 클래식 조합(가쿠빈 하이볼). 대안 탈리스커는 숯불 불향과 훈연으로 동조한다(지방절단·훈연 동조).,,https://map.naver.com/p/search/%EC%98%A4%EB%A7%88%EC%A3%BC,https://d12zq4w4guyljn.cloudfront.net/300_300_20260413091114_photo1_56333eeb58da.webp,메뉴=카테고리 추정·페어링=원리기반(매장 위스키정책 전화확인 권장)
합정역,21,퓨전선술집,"이자카야, 도미사시미",모듬회·사시미·스시 (담백한 생선),회·사시미·스시(담백),코스탈(해안 몰트),스페이사이드(과일몰트),클라이넬리시 14년,"79,400원~84,800원",하이볼 또는 니트(소량),"섬세한 흰살·붉은살 생선의 감칠맛을 덮지 않도록 피트 없는 경량 몰트가 정답. 클라이넬리시의 해풍·왁시한 질감이 회의 바다향과 동조하고, 대안 글렌리벳은 사과·꽃향으로 입을 가볍게 정리한다(담백함 보존).",,https://map.naver.com/p/search/%ED%93%A8%EC%A0%84%EC%84%A0%EC%88%A0%EC%A7%91,https://d12zq4w4guyljn.cloudfront.net/300_300_20260423075608_photo1_015b99dfc825.webp,메뉴=카테고리 추정·페어링=원리기반(매장 위스키정책 전화확인 권장)
합정역,22,세이코우,"이자카야, 사케",이자카야·사케·라멘 (일식 주점),이자카야·사케·라멘(일식주점),재패니즈(하이볼),스페이사이드(과일몰트),산토리 가쿠빈,"32,980원~39,800원",하이볼,야키토리·꼬치·라멘 등 기름지고 짭짤한 일식 주점 안주에는 일본식 하이볼(가쿠빈)이 정석이다. 탄산이 기름을 끊고 가볍게 이어 마실 수 있다(지방절단·문화적 정합).,,https://map.naver.com/p/search/%EC%84%B8%EC%9D%B4%EC%BD%94%EC%9A%B0,https://d12zq4w4guyljn.cloudfront.net/300_300_20251026122620_photo1_66362ea9f767.webp,메뉴=카테고리 추정·페어링=원리기반(매장 위스키정책 전화확인 권장)
합정역,23,옥돈 홍대점,"고깃집, 삼겹살",삼겹살·목살·돼지구이 (기름진 구이),삼겹살·돼지구이,재패니즈(하이볼),피트(스모키),산토리 가쿠빈,"32,980원~39,800원",하이볼,기름진 삼겹·목살에는 하이볼의 탄산이 느끼함을 끊어주는 클래식 조합(가쿠빈 하이볼). 대안 탈리스커는 숯불 불향과 훈연으로 동조한다(지방절단·훈연 동조).,,https://map.naver.com/p/search/%EC%98%A5%EB%8F%88%20%ED%99%8D%EB%8C%80%EC%A0%90,https://d12zq4w4guyljn.cloudfront.net/300_300_20260101211717_photo1_05ed76225727.webp,메뉴=카테고리 추정·페어링=원리기반(매장 위스키정책 전화확인 권장)
합정역,24,핑크솔트 숯불구이,"정육식당, 소고기",한우·숙성 소고기구이 (마블링·마이야르),숙성 한우·소고기구이,셰리,버번,글렌드로낙 12년,"79,800원~82,800원",니트,"숙성 한우의 진한 감칠맛과 마이야르(불맛)에는 셰리캐스크의 건과일·견과 단맛이 풍미의 층을 더하고, 대안 버번의 높은 도수가 마블링 기름을 정리한다(감칠맛 보완·지방절단).",,https://map.naver.com/p/search/%ED%95%91%ED%81%AC%EC%86%94%ED%8A%B8%20%EC%88%AF%EB%B6%88%EA%B5%AC%EC%9D%B4,https://d12zq4w4guyljn.cloudfront.net/300_300_20240414051802_photo1_a52f7b2368f5.webp,메뉴=카테고리 추정·페어링=원리기반(매장 위스키정책 전화확인 권장)
합정역,25,개나리아구찜 합정직영점,"아구찜, 대창",곱창·막창·대창 (불향 내장구이),곱창·막창(소내장),버번,피트(스모키),버팔로 트레이스,"49,800원~49,980원",니트 또는 하이볼,"기름지고 풍미가 강한 내장구이에는 버번의 옥수수 단맛+높은 도수가 기름·잡내를 정리하고, 대안 아일라 피트는 숯불 불향과 훈연으로 동조한다(지방절단·훈연 동조).",,https://map.naver.com/p/search/%EA%B0%9C%EB%82%98%EB%A6%AC%EC%95%84%EA%B5%AC%EC%B0%9C%20%ED%95%A9%EC%A0%95%EC%A7%81%EC%98%81%EC%A0%90,https://d12zq4w4guyljn.cloudfront.net/300_300_20251123081229_photo1_419d57c9cdfa.webp,메뉴=카테고리 추정·페어링=원리기반(매장 위스키정책 전화확인 권장)
합정역,26,아웃백 스테이크하우스 합정점,"스테이크, 투움바",스테이크 (드라이에이징·양식 육요리),스테이크·양식 고기,셰리,버번,글렌드로낙 12년,"79,800원~82,800원",니트,"육즙 가득한 스테이크에는 셰리캐스크 몰트의 건과일·견과가 마이야르 풍미와 층을 이루고, 대안 우드포드 버번의 단맛·바닐라가 시즈닝과 어울린다(감칠맛 보완).",,https://map.naver.com/p/search/%EC%95%84%EC%9B%83%EB%B0%B1%20%EC%8A%A4%ED%85%8C%EC%9D%B4%ED%81%AC%ED%95%98%EC%9A%B0%EC%8A%A4%20%ED%95%A9%EC%A0%95%EC%A0%90,https://d12zq4w4guyljn.cloudfront.net/300_300_20260420020333_photo1_7fe778eaa215.webp,메뉴=카테고리 추정·페어링=원리기반(매장 위스키정책 전화확인 권장)
합정역,27,대목,"고깃집, 삼겹살",삼겹살·목살·돼지구이 (기름진 구이),삼겹살·돼지구이,재패니즈(하이볼),피트(스모키),산토리 가쿠빈,"32,980원~39,800원",하이볼,기름진 삼겹·목살에는 하이볼의 탄산이 느끼함을 끊어주는 클래식 조합(가쿠빈 하이볼). 대안 탈리스커는 숯불 불향과 훈연으로 동조한다(지방절단·훈연 동조).,,https://map.naver.com/p/search/%EB%8C%80%EB%AA%A9,https://d12zq4w4guyljn.cloudfront.net/300_300_20260520100920_photo1_11eda3824125.webp,메뉴=카테고리 추정·페어링=원리기반(매장 위스키정책 전화확인 권장)
합정역,28,온리원갈비 합정직영점,돼지갈비,삼겹살·목살·돼지구이 (기름진 구이),삼겹살·돼지구이,재패니즈(하이볼),피트(스모키),산토리 가쿠빈,"32,980원~39,800원",하이볼,기름진 삼겹·목살에는 하이볼의 탄산이 느끼함을 끊어주는 클래식 조합(가쿠빈 하이볼). 대안 탈리스커는 숯불 불향과 훈연으로 동조한다(지방절단·훈연 동조).,,https://map.naver.com/p/search/%EC%98%A8%EB%A6%AC%EC%9B%90%EA%B0%88%EB%B9%84%20%ED%95%A9%EC%A0%95%EC%A7%81%EC%98%81%EC%A0%90,https://d12zq4w4guyljn.cloudfront.net/300_300_20220602010908904_photo_c10fa390751e.webp,메뉴=카테고리 추정·페어링=원리기반(매장 위스키정책 전화확인 권장)
합정역,29,보헴 비스트로,"생면파스타, 비스트로",파스타·피자·리조또 (양식),양식·파스타·피자,스페이사이드(과일몰트),재패니즈(하이볼),글렌피딕 12년,"59,000원~84,800원",니트 또는 하이볼,"토마토·치즈·크림의 산미와 감칠맛에는 글렌피딕의 가벼운 배·사과향이 식사주로 무난하고, 하이볼로 내면 가벼운 식전·식중주가 된다(과일향 매칭).",있음,https://map.naver.com/p/search/%EB%B3%B4%ED%97%B4%20%EB%B9%84%EC%8A%A4%ED%8A%B8%EB%A1%9C,https://d12zq4w4guyljn.cloudfront.net/300_300_20210812045109218_photo_586ced7692a5.webp,메뉴=카테고리 추정·페어링=원리기반(매장 위스키정책 전화확인 권장)
합정역,30,미트스타킴,"고깃집, 오마카세",삼겹살·목살·돼지구이 (기름진 구이),삼겹살·돼지구이,재패니즈(하이볼),피트(스모키),산토리 가쿠빈,"32,980원~39,800원",하이볼,기름진 삼겹·목살에는 하이볼의 탄산이 느끼함을 끊어주는 클래식 조합(가쿠빈 하이볼). 대안 탈리스커는 숯불 불향과 훈연으로 동조한다(지방절단·훈연 동조).,,https://map.naver.com/p/search/%EB%AF%B8%ED%8A%B8%EC%8A%A4%ED%83%80%ED%82%B4,https://s3-ap-northeast-1.amazonaws.com/dcicons/new/images/web/noimage/1.jpg,메뉴=카테고리 추정·페어링=원리기반(매장 위스키정책 전화확인 권장)
합정역,31,블랑루즈 합정,"와인바, 생면파스타",파스타·피자·리조또 (양식),양식·파스타·피자,스페이사이드(과일몰트),재패니즈(하이볼),글렌피딕 12년,"59,000원~84,800원",니트 또는 하이볼,"토마토·치즈·크림의 산미와 감칠맛에는 글렌피딕의 가벼운 배·사과향이 식사주로 무난하고, 하이볼로 내면 가벼운 식전·식중주가 된다(과일향 매칭).",있음,https://map.naver.com/p/search/%EB%B8%94%EB%9E%91%EB%A3%A8%EC%A6%88%20%ED%95%A9%EC%A0%95,https://s3-ap-northeast-1.amazonaws.com/dcicons/new/images/web/noimage/1.jpg,메뉴=카테고리 추정·페어링=원리기반(매장 위스키정책 전화확인 권장)
합정역,32,합계 합정본점,"닭구이, 닭특수부위",한우·숙성 소고기구이 (마블링·마이야르),숙성 한우·소고기구이,셰리,버번,글렌드로낙 12년,"79,800원~82,800원",니트,"숙성 한우의 진한 감칠맛과 마이야르(불맛)에는 셰리캐스크의 건과일·견과 단맛이 풍미의 층을 더하고, 대안 버번의 높은 도수가 마블링 기름을 정리한다(감칠맛 보완·지방절단).",,https://map.naver.com/p/search/%ED%95%A9%EA%B3%84%20%ED%95%A9%EC%A0%95%EB%B3%B8%EC%A0%90,https://s3-ap-northeast-1.amazonaws.com/dcicons/new/images/web/noimage/1.jpg,메뉴=카테고리 추정·페어링=원리기반(매장 위스키정책 전화확인 권장)
