순위,동반등급,등록부매칭,식당명,카테고리,대분류,근거,주의,출처,도로명주소,전화,도보거리_m,도보_분,대표사진,네이버지도,식당ID,lat,lng
11,A·동반명시,미확인,포유,"쌀국수, 베트남음식",한식·기타,동반 가능 명시(애견/반려동물 동반 태그),동반 가능 표기. 단 견종·크기·내부동반/테라스한정·예약 여부는 정책 변동 잦아 방문 전 매장 확인 권장,공개 검색 신호(추정),서울특별시 성동구 연무장길 41-26 1층 포유성수,0507-1470-5516,196,3,,https://map.naver.com/p/search/%ED%8F%AC%EC%9C%A0,9aCfi6ZOHah1,37.5434226,127.0542854
12,A·동반명시,미확인,앤드밀,"브런치, 샌드위치",카페·브런치,동반 가능 명시(애견/반려동물 동반 태그),동반 가능 표기. 단 견종·크기·내부동반/테라스한정·예약 여부는 정책 변동 잦아 방문 전 매장 확인 권장,공개 검색 신호(추정),서울특별시 성동구 연무장3길 5-1 3층,070-8888-0919,405,6,,https://map.naver.com/p/search/%EC%95%A4%EB%93%9C%EB%B0%80,QBjm5z8Syq5s,37.5442371,127.0513818
13,A·동반명시,미확인,카페&펍 연무장,"카페, 루프탑",카페·브런치,동반 가능 명시(애견/반려동물 동반 태그),동반 가능 표기. 단 견종·크기·내부동반/테라스한정·예약 여부는 정책 변동 잦아 방문 전 매장 확인 권장,공개 검색 신호(추정),"서울특별시 성동구 연무장길 36 연무장 8층, 카페&펍 연무장",0507-1464-4434,300,4,,https://map.naver.com/p/search/%EC%B9%B4%ED%8E%98%26%ED%8E%8D%20%EC%97%B0%EB%AC%B4%EC%9E%A5,5Xj5QdLT7nLI,37.5429263,127.053274
14,A·동반명시,미확인,메이플탑,"브런치, 팬케이크",카페·브런치,동반 가능 명시(애견/반려동물 동반 태그),동반 가능 표기. 단 견종·크기·내부동반/테라스한정·예약 여부는 정책 변동 잦아 방문 전 매장 확인 권장,공개 검색 신호(추정),서울특별시 성동구 성수이로14길 14 성수연방 A동 2층,02-3789-4427,334,5,,https://map.naver.com/p/search/%EB%A9%94%EC%9D%B4%ED%94%8C%ED%83%91,Mwx2QHcLyJhZ,37.54166,127.056862
15,A·동반명시,미확인,리틀포레스트,"브런치, 샌드위치",카페·브런치,동반 가능 명시(애견/반려동물 동반 태그),동반 가능 표기. 단 견종·크기·내부동반/테라스한정·예약 여부는 정책 변동 잦아 방문 전 매장 확인 권장,공개 검색 신호(추정),서울특별시 성동구 성수일로12길 23 2층,0507-1358-6816,461,7,,https://map.naver.com/p/search/%EB%A6%AC%ED%8B%80%ED%8F%AC%EB%A0%88%EC%8A%A4%ED%8A%B8,9ojati23Vi5D,37.5483407,127.053762
16,A·동반명시,미확인,보또비노,"와인바, 브런치",바·주류,동반 가능 명시(애견/반려동물 동반 태그),동반 가능 표기. 단 견종·크기·내부동반/테라스한정·예약 여부는 정책 변동 잦아 방문 전 매장 확인 권장,공개 검색 신호(추정),서울특별시 성동구 광나루로4가길 2 2층,070-4322-2519,571,9,,https://map.naver.com/p/search/%EB%B3%B4%EB%98%90%EB%B9%84%EB%85%B8,gxwT7vLuB43L,37.549525,127.0542388
17,A·동반명시,미확인,ETF베이커리 성수점,베이커리,카페·브런치,동반 가능 명시(애견/반려동물 동반 태그),동반 가능 표기. 단 견종·크기·내부동반/테라스한정·예약 여부는 정책 변동 잦아 방문 전 매장 확인 권장,공개 검색 신호(추정),"서울 성동구 성수이로16길 32 주3 1, 2층",070-4288-1269,604,9,,https://map.naver.com/p/search/ETF%EB%B2%A0%EC%9D%B4%EC%BB%A4%EB%A6%AC%20%EC%84%B1%EC%88%98%EC%A0%90,1uRd5DYqz4EG,37.5401557,127.0599385
18,A·동반명시,미확인,차일디쉬,"베이커리, 붕어빵",카페·브런치,동반 가능 명시(애견/반려동물 동반 태그),동반 가능 표기. 단 견종·크기·내부동반/테라스한정·예약 여부는 정책 변동 잦아 방문 전 매장 확인 권장,공개 검색 신호(추정),서울특별시 성동구 연무장길 114 2층 차일디쉬,0507-1350-8329,674,10,,https://map.naver.com/p/search/%EC%B0%A8%EC%9D%BC%EB%94%94%EC%89%AC,SWokzqlH8UgL,37.5404568,127.0615718
19,A·동반명시,미확인,달임막,"베이커리, 카이막",카페·브런치,동반 가능 명시(애견/반려동물 동반 태그),동반 가능 표기. 단 견종·크기·내부동반/테라스한정·예약 여부는 정책 변동 잦아 방문 전 매장 확인 권장,공개 검색 신호(추정),서울특별시 성동구 연무장길 38-2 1층,02-462-0134,276,4,,https://map.naver.com/p/search/%EB%8B%AC%EC%9E%84%EB%A7%89,Fm5J3bLhY9ov,37.5428147,127.0537556
20,A·동반명시,미확인,카페씨떼,카페,카페·브런치,동반 가능 명시(애견/반려동물 동반 태그),동반 가능 표기. 단 견종·크기·내부동반/테라스한정·예약 여부는 정책 변동 잦아 방문 전 매장 확인 권장,공개 검색 신호(추정),서울특별시 성동구 성수이로 71 주3동,02-465-0811,333,5,,https://map.naver.com/p/search/%EC%B9%B4%ED%8E%98%EC%94%A8%EB%96%BC,FYqIvnu3UYl6,37.5415877,127.0557278
21,A·동반명시,미확인,바오 서울,"대만, 바오번",기타,동반 가능 명시(애견/반려동물 동반 태그),동반 가능 표기. 단 견종·크기·내부동반/테라스한정·예약 여부는 정책 변동 잦아 방문 전 매장 확인 권장,공개 검색 신호(추정),서울특별시 성동구 연무장길 110 1층 103호,0507-1393-2642,649,10,,https://map.naver.com/p/search/%EB%B0%94%EC%98%A4%20%EC%84%9C%EC%9A%B8,ULrEIeGb1syQ,37.5405739,127.0613223
22,A·동반명시,미확인,어피스앤드피스,"케이크, 카페",카페·브런치,동반 가능 명시(애견/반려동물 동반 태그),동반 가능 표기. 단 견종·크기·내부동반/테라스한정·예약 여부는 정책 변동 잦아 방문 전 매장 확인 권장,공개 검색 신호(추정),서울특별시 성동구 성수일로12길 17 1층 A Piece & Peace,0507-1338-4375,502,7,,https://map.naver.com/p/search/%EC%96%B4%ED%94%BC%EC%8A%A4%EC%95%A4%EB%93%9C%ED%94%BC%EC%8A%A4,4zt9Rvnr4e4Z,37.5485305,127.0532217
23,A·동반명시,미확인,무브모브 카페&스튜디오,"카페, 디저트",카페·브런치,동반 가능 명시(애견/반려동물 동반 태그),동반 가능 표기. 단 견종·크기·내부동반/테라스한정·예약 여부는 정책 변동 잦아 방문 전 매장 확인 권장,공개 검색 신호(추정),서울특별시 성동구 성수일로 56,0507-1377-0878,507,8,,https://map.naver.com/p/search/%EB%AC%B4%EB%B8%8C%EB%AA%A8%EB%B8%8C%20%EC%B9%B4%ED%8E%98%26%EC%8A%A4%ED%8A%9C%EB%94%94%EC%98%A4,34oFAXa3a8UE,37.5454447,127.0503205
24,A·동반명시,미확인,Scene,"카페, 오렌지",카페·브런치,동반 가능 명시(애견/반려동물 동반 태그),동반 가능 표기. 단 견종·크기·내부동반/테라스한정·예약 여부는 정책 변동 잦아 방문 전 매장 확인 권장,공개 검색 신호(추정),서울특별시 성동구 연무장5길 20 1F Scène,0507-1493-2127,224,3,,https://map.naver.com/p/search/Scene,RunUugSbk0YZ,37.5448952,127.0534542
25,A·동반명시,미확인,피어커피,"커피, 카페",카페·브런치,동반 가능 명시(애견/반려동물 동반 태그),동반 가능 표기. 단 견종·크기·내부동반/테라스한정·예약 여부는 정책 변동 잦아 방문 전 매장 확인 권장,공개 검색 신호(추정),서울특별시 성동구 광나루로4가길 24 1층 피어커피,02-474-1464,495,7,,https://map.naver.com/p/search/%ED%94%BC%EC%96%B4%EC%BB%A4%ED%94%BC,3BOv1ZjLuMDO,37.5489472,127.054887
26,A·동반명시,미확인,굿갓레스토랑 성수역점,"파스타, 스테이크",웨스턴(양식),동반 가능 명시(애견/반려동물 동반 태그),동반 가능 표기. 단 견종·크기·내부동반/테라스한정·예약 여부는 정책 변동 잦아 방문 전 매장 확인 권장,공개 검색 신호(추정),서울특별시 성동구 연무장길 41-22 2층 201호,0507-1330-2497,204,3,,https://map.naver.com/p/search/%EA%B5%BF%EA%B0%93%EB%A0%88%EC%8A%A4%ED%86%A0%EB%9E%91%20%EC%84%B1%EC%88%98%EC%97%AD%EC%A0%90,7L79y0UBBArT,37.5433409,127.0542485
27,A·동반명시,미확인,노치 성수,"디저트, 타르트",카페·브런치,동반 가능 명시(애견/반려동물 동반 태그),동반 가능 표기. 단 견종·크기·내부동반/테라스한정·예약 여부는 정책 변동 잦아 방문 전 매장 확인 권장,공개 검색 신호(추정),서울특별시 성동구 광나루로4가길 3 1층,0507-1444-1748,592,9,,https://map.naver.com/p/search/%EB%85%B8%EC%B9%98%20%EC%84%B1%EC%88%98,M9Zcr2upqhqy,37.5497198,127.0542424
28,A·동반명시,미확인,휴먼 메이드 서울 카페 바이 블루 보틀 커피,카페,카페·브런치,동반 가능 명시(애견/반려동물 동반 태그),동반 가능 표기. 단 견종·크기·내부동반/테라스한정·예약 여부는 정책 변동 잦아 방문 전 매장 확인 권장,공개 검색 신호(추정),서울특별시 성동구 성수이로7길 39 2층,1533-6906,334,5,,https://map.naver.com/p/search/%ED%9C%B4%EB%A8%BC%20%EB%A9%94%EC%9D%B4%EB%93%9C%20%EC%84%9C%EC%9A%B8%20%EC%B9%B4%ED%8E%98%20%EB%B0%94%EC%9D%B4%20%EB%B8%94%EB%A3%A8%20%EB%B3%B4%ED%8B%80%20%EC%BB%A4%ED%94%BC,jG6CRnYbTKIX,37.5425122,127.0532119
29,A·동반명시,미확인,SOUND CLASKA,"캠핑, 루프탑",기타,동반 가능 명시(애견/반려동물 동반 태그),동반 가능 표기. 단 견종·크기·내부동반/테라스한정·예약 여부는 정책 변동 잦아 방문 전 매장 확인 권장,공개 검색 신호(추정),서울특별시 성동구 연무장15길 11 B동 301호,02-497-8001,347,5,,https://map.naver.com/p/search/SOUND%20CLASKA,x8pH293AKPS5,37.5427734,127.0591722
30,A·동반명시,미확인,코트사이드,"카페, 토스트",카페·브런치,동반 가능 명시(애견/반려동물 동반 태그),동반 가능 표기. 단 견종·크기·내부동반/테라스한정·예약 여부는 정책 변동 잦아 방문 전 매장 확인 권장,공개 검색 신호(추정),서울특별시 성동구 아차산로13길 2 3F,070-7773-9798,435,6,,https://map.naver.com/p/search/%EC%BD%94%ED%8A%B8%EC%82%AC%EC%9D%B4%EB%93%9C,d3SpfXghIjl5,37.5434305,127.0606837
31,A·동반명시,미확인,보후밀,"커피, 카페",카페·브런치,동반 가능 명시(애견/반려동물 동반 태그),동반 가능 표기. 단 견종·크기·내부동반/테라스한정·예약 여부는 정책 변동 잦아 방문 전 매장 확인 권장,공개 검색 신호(추정),서울특별시 성동구 뚝섬로17길 29,,627,9,,https://map.naver.com/p/search/%EB%B3%B4%ED%9B%84%EB%B0%80,2gBPPzs2q0Qd,37.5401649,127.0603971
32,A·동반명시,미확인,키키,"이자카야, 술집",바·주류,동반 가능 명시(애견/반려동물 동반 태그),동반 가능 표기. 단 견종·크기·내부동반/테라스한정·예약 여부는 정책 변동 잦아 방문 전 매장 확인 권장,공개 검색 신호(추정),서울특별시 성동구 뚝섬로7길 6 1층 키키,0507-1491-7181,637,10,,https://map.naver.com/p/search/%ED%82%A4%ED%82%A4,8xD9mSR4aeM1,37.5388809,127.0566816
33,A·동반명시,미확인,쭈꾸미도사,"쭈꾸미, 대창쭈꾸미",고기·구이,동반 가능 명시(애견/반려동물 동반 태그),동반 가능 표기. 단 견종·크기·내부동반/테라스한정·예약 여부는 정책 변동 잦아 방문 전 매장 확인 권장,공개 검색 신호(추정),서울특별시 성동구 아차산로 110 1층쭈꾸미도사,0507-1339-4991,54,1,,https://map.naver.com/p/search/%EC%AD%88%EA%BE%B8%EB%AF%B8%EB%8F%84%EC%82%AC,Yal23TkTqJIV,37.54415,127.056261
34,A·동반명시,미확인,레이지 요거트,"요거트, 카페",카페·브런치,동반 가능 명시(애견/반려동물 동반 태그),동반 가능 표기. 단 견종·크기·내부동반/테라스한정·예약 여부는 정책 변동 잦아 방문 전 매장 확인 권장,공개 검색 신호(추정),서울 성동구 성수이로14길 14 B동 102호,0503-5260-5798,363,5,,https://map.naver.com/p/search/%EB%A0%88%EC%9D%B4%EC%A7%80%20%EC%9A%94%EA%B1%B0%ED%8A%B8,3mso11FcH58A,37.5414032,127.0569364
35,A·동반명시,미확인,RSG 성수점,"카페, 클래식바",카페·브런치,동반 가능 명시(애견/반려동물 동반 태그),동반 가능 표기. 단 견종·크기·내부동반/테라스한정·예약 여부는 정책 변동 잦아 방문 전 매장 확인 권장,공개 검색 신호(추정),서울특별시 성동구 연무장15길 11 C동 110호,010-4228-4289,420,6,,https://map.naver.com/p/search/RSG%20%EC%84%B1%EC%88%98%EC%A0%90,Cy3WaBeqQZYY,37.542477,127.0599206
36,A·동반명시,미확인,마아트 커피 브루어스,"커피, 카페",카페·브런치,동반 가능 명시(애견/반려동물 동반 태그),동반 가능 표기. 단 견종·크기·내부동반/테라스한정·예약 여부는 정책 변동 잦아 방문 전 매장 확인 권장,공개 검색 신호(추정),서울특별시 성동구 광나루로4길 9 1층 MAAT 커피 브루어스,070-4279-6182,570,9,,https://map.naver.com/p/search/%EB%A7%88%EC%95%84%ED%8A%B8%20%EC%BB%A4%ED%94%BC%20%EB%B8%8C%EB%A3%A8%EC%96%B4%EC%8A%A4,97cZAYitC5KQ,37.5493913,127.0537488
37,A·동반명시,미확인,필리필리 성수점,"미국, 필리치즈스테이크",웨스턴(양식),동반 가능 명시(애견/반려동물 동반 태그),동반 가능 표기. 단 견종·크기·내부동반/테라스한정·예약 여부는 정책 변동 잦아 방문 전 매장 확인 권장,공개 검색 신호(추정),서울특별시 성동구 아차산로 103 1층 105호,02-6941-1385,77,1,,https://map.naver.com/p/search/%ED%95%84%EB%A6%AC%ED%95%84%EB%A6%AC%20%EC%84%B1%EC%88%98%EC%A0%90,HzjZdl8iF4sV,37.5452002,127.0555786
38,A·동반명시,미확인,성수치킨 성수역점,"치킨, 치맥",고기·구이,동반 가능 명시(애견/반려동물 동반 태그),동반 가능 표기. 단 견종·크기·내부동반/테라스한정·예약 여부는 정책 변동 잦아 방문 전 매장 확인 권장,공개 검색 신호(추정),서울특별시 성동구 아차산로 116 삼연빌딩 1층,02-464-4456,80,1,,https://map.naver.com/p/search/%EC%84%B1%EC%88%98%EC%B9%98%ED%82%A8%20%EC%84%B1%EC%88%98%EC%97%AD%EC%A0%90,3xbi0c9wpnzk,37.544086,127.056629
39,A·동반명시,미확인,티 커피,"카페, coffee",카페·브런치,동반 가능 명시(애견/반려동물 동반 태그),동반 가능 표기. 단 견종·크기·내부동반/테라스한정·예약 여부는 정책 변동 잦아 방문 전 매장 확인 권장,공개 검색 신호(추정),서울특별시 성동구 아차산로 159 지하1층,,533,8,,https://map.naver.com/p/search/%ED%8B%B0%20%EC%BB%A4%ED%94%BC,NJ58HsLMBg5U,37.5433996,127.0618187
40,A·동반명시,미확인,센버스,"카페, 북카페",카페·브런치,동반 가능 명시(애견/반려동물 동반 태그),동반 가능 표기. 단 견종·크기·내부동반/테라스한정·예약 여부는 정책 변동 잦아 방문 전 매장 확인 권장,공개 검색 신호(추정),서울특별시 성동구 아차산로13길 31,0507-1396-2084,511,8,,https://map.naver.com/p/search/%EC%84%BC%EB%B2%84%EC%8A%A4,KuEYYrd8zZD3,37.5458066,127.0615463
41,A·동반명시,미확인,진저그랜파,"칵테일, 칵테일바",바·주류,동반 가능 명시(애견/반려동물 동반 태그),동반 가능 표기. 단 견종·크기·내부동반/테라스한정·예약 여부는 정책 변동 잦아 방문 전 매장 확인 권장,공개 검색 신호(추정),서울특별시 성동구 성수일로 95-1 1층,0507-1303-0723,640,10,,https://map.naver.com/p/search/%EC%A7%84%EC%A0%80%EA%B7%B8%EB%9E%9C%ED%8C%8C,pxKL6fQ0d1u3,37.5489262,127.0512101
42,A·동반명시,미확인,하하하성수,"카페, 바나나푸딩",카페·브런치,동반 가능 명시(애견/반려동물 동반 태그),동반 가능 표기. 단 견종·크기·내부동반/테라스한정·예약 여부는 정책 변동 잦아 방문 전 매장 확인 권장,공개 검색 신호(추정),서울특별시 성동구 뚝섬로 389 1층,0507-1338-8437,621,9,,https://map.naver.com/p/search/%ED%95%98%ED%95%98%ED%95%98%EC%84%B1%EC%88%98,TtXmtv9HMFyf,37.539179,127.0541564
43,A·동반명시,미확인,지크커피,"디저트, 카페",카페·브런치,동반 가능 명시(애견/반려동물 동반 태그),동반 가능 표기. 단 견종·크기·내부동반/테라스한정·예약 여부는 정책 변동 잦아 방문 전 매장 확인 권장,공개 검색 신호(추정),서울특별시 성동구 연무장3길 10-1 1층,0507-1396-8895,367,5,,https://map.naver.com/p/search/%EC%A7%80%ED%81%AC%EC%BB%A4%ED%94%BC,o7LQg3AlrnHF,37.5445751,127.051799
44,A·동반명시,미확인,코스모스상점,비건,기타,동반 가능 명시(애견/반려동물 동반 태그),동반 가능 표기. 단 견종·크기·내부동반/테라스한정·예약 여부는 정책 변동 잦아 방문 전 매장 확인 권장,공개 검색 신호(추정),서울특별시 성동구 성수이로7길 27 서울숲코오롱디지털타워2차 1층 106-2호,0507-1402-7878,413,6,,https://map.naver.com/p/search/%EC%BD%94%EC%8A%A4%EB%AA%A8%EC%8A%A4%EC%83%81%EC%A0%90,NfrX6qpBN4NY,37.5414112,127.0535101
45,A·동반명시,미확인,창창커피,"커피, 라떼",카페·브런치,동반 가능 명시(애견/반려동물 동반 태그),동반 가능 표기. 단 견종·크기·내부동반/테라스한정·예약 여부는 정책 변동 잦아 방문 전 매장 확인 권장,공개 검색 신호(추정),서울특별시 성동구 성수일로4가길 2 1층 창창커피,0507-1326-3043,329,5,,https://map.naver.com/p/search/%EC%B0%BD%EC%B0%BD%EC%BB%A4%ED%94%BC,FXztGN2TP8Lf,37.542035,127.0540545
46,A·동반명시,미확인,Soi Nana,"태국음식, 쌀국수",한식·기타,동반 가능 명시(애견/반려동물 동반 태그),동반 가능 표기. 단 견종·크기·내부동반/테라스한정·예약 여부는 정책 변동 잦아 방문 전 매장 확인 권장,공개 검색 신호(추정),서울특별시 성동구 성수이로22길 37 1층 Soi Nana,0507-1378-2524,484,7,,https://map.naver.com/p/search/Soi%20Nana,Q2MSteKq50BH,37.5439142,127.0613915
47,A·동반명시,미확인,크레이트커피,"커피, 카페",카페·브런치,동반 가능 명시(애견/반려동물 동반 태그),동반 가능 표기. 단 견종·크기·내부동반/테라스한정·예약 여부는 정책 변동 잦아 방문 전 매장 확인 권장,공개 검색 신호(추정),서울특별시 성동구 성수일로12가길 10,070-7576-4935,604,9,,https://map.naver.com/p/search/%ED%81%AC%EB%A0%88%EC%9D%B4%ED%8A%B8%EC%BB%A4%ED%94%BC,ePGirDrXUpg1,37.5494207,127.0528483
48,A·동반명시,미확인,루루피피글루글루,"와인바, 내추럴와인",바·주류,동반 가능 명시(애견/반려동물 동반 태그),동반 가능 표기. 단 견종·크기·내부동반/테라스한정·예약 여부는 정책 변동 잦아 방문 전 매장 확인 권장,공개 검색 신호(추정),서울특별시 성동구 연무장5가길 25 104호,0507-1368-2753,98,1,,https://map.naver.com/p/search/%EB%A3%A8%EB%A3%A8%ED%94%BC%ED%94%BC%EA%B8%80%EB%A3%A8%EA%B8%80%EB%A3%A8,FcgfkaA1BSJy,37.5437304,127.0556345
49,A·동반명시,미확인,아웃오브타임,"칵테일, 칵테일바",바·주류,동반 가능 명시(애견/반려동물 동반 태그),동반 가능 표기. 단 견종·크기·내부동반/테라스한정·예약 여부는 정책 변동 잦아 방문 전 매장 확인 권장,공개 검색 신호(추정),서울특별시 성동구 성수일로8길 40 3층,0507-1310-8641,162,2,,https://map.naver.com/p/search/%EC%95%84%EC%9B%83%EC%98%A4%EB%B8%8C%ED%83%80%EC%9E%84,l9BzqGu5pYrY,37.5455619,127.0546013
50,A·동반명시,미확인,버터컵,"카페, 커피",카페·브런치,동반 가능 명시(애견/반려동물 동반 태그),동반 가능 표기. 단 견종·크기·내부동반/테라스한정·예약 여부는 정책 변동 잦아 방문 전 매장 확인 권장,공개 검색 신호(추정),서울특별시 성동구 성수이로7길 27 서울숲코오롱디지탈타워 105-2호,0507-1344-8049,402,6,,https://map.naver.com/p/search/%EB%B2%84%ED%84%B0%EC%BB%B5,Pi1xZG3aueFq,37.5415748,127.0534199
51,A·동반명시,미확인,호두이즈월넛 HODOOISWALNUT,"카페, 에그타르트",카페·브런치,동반 가능 명시(애견/반려동물 동반 태그),동반 가능 표기. 단 견종·크기·내부동반/테라스한정·예약 여부는 정책 변동 잦아 방문 전 매장 확인 권장,공개 검색 신호(추정),서울특별시 성동구 광나루로2길 34 1층,02-464-1173,418,6,,https://map.naver.com/p/search/%ED%98%B8%EB%91%90%EC%9D%B4%EC%A6%88%EC%9B%94%EB%84%9B%20HODOOISWALNUT,4SUs0xwcBSnt,37.5482397,127.0549037
52,A·동반명시,미확인,올드너티커피로스터스,"커피, 카페",카페·브런치,동반 가능 명시(애견/반려동물 동반 태그),동반 가능 표기. 단 견종·크기·내부동반/테라스한정·예약 여부는 정책 변동 잦아 방문 전 매장 확인 권장,공개 검색 신호(추정),서울특별시 성동구 광나루로4길 1-10 1층,0507-1354-4883,580,9,,https://map.naver.com/p/search/%EC%98%AC%EB%93%9C%EB%84%88%ED%8B%B0%EC%BB%A4%ED%94%BC%EB%A1%9C%EC%8A%A4%ED%84%B0%EC%8A%A4,wNRykFmlpXQd,37.5496639,127.0545258
53,A·동반명시,미확인,더네온문,"카페, 파르페",카페·브런치,동반 가능 명시(애견/반려동물 동반 태그),동반 가능 표기. 단 견종·크기·내부동반/테라스한정·예약 여부는 정책 변동 잦아 방문 전 매장 확인 권장,공개 검색 신호(추정),서울특별시 성동구 광나루로4길 4-1,0507-1394-0204,607,9,,https://map.naver.com/p/search/%EB%8D%94%EB%84%A4%EC%98%A8%EB%AC%B8,8L4yCglLOivg,37.5498189,127.0540515
54,B·추정(확인필요),미확인,베통 성수 플래그십,"베이커리, 소금빵",카페·브런치,야외·테라스 좌석 신호('테라스') — 동반 허용 가능성(확인필요),추정 후보(야외·테라스 신호) — 반려동물 동반 가능 여부·조건은 방문 전 매장 확인 필수,공개 검색 신호(추정),서울특별시 성동구 연무장7가길 8 베통 성수,02-499-1112,194,3,,https://map.naver.com/p/search/%EB%B2%A0%ED%86%B5%20%EC%84%B1%EC%88%98%20%ED%94%8C%EB%9E%98%EA%B7%B8%EC%8B%AD,aPIjQptglPVI,37.5429356,127.0552214
